Name,Business,Telephone,Address
SAHAM ASSURANCE,"General, Life",202742662,
APA INSURANCE COMPANY,"General, Life, Medical",0202862000/364,"Apollo Centre, Westlands"
BRITAM GENERAL INSURANCE,"General, Life, Medical",0703 094000,"Britam General Insurance, Elgon Road, Upper Hill"
CIC GENERAL INSURANCE COMPANY,"General, Life, Medical",020-2823000,"CIC PLAZA, Mara Road, Upper Hill."
HERITAGE INSURANCE COMPANY,"General, Life, Medical",202783000,"LIBERTY House, Mamlaka Road"
JUBILEE INSURANCE COMPANY,"General, Life, Medical",203281000,"Jubilee Insurance Building, General Kago St, Nairobi, Kenya"
UAP INSURANCE COMPANY,"General, Life, Medical",202850000,"Bishop Road, Bishops GardenTowers, Upperhill"
FIRST ASSURANCE COMPANY,"General, Medical",722444117,"First Assurance House, Cylde Gardens, Gitanga Road"
GA INSURANCE COMPANY,"General, Medical",020 271 1633/4,"GA Insurance Ltd. 4th Fl. GA Insurance House, Ralph Bunche Road"
RESOLUTION HEALTH INSURANCE,"General, Medical",202894000,"Parkfield Place, Muthangari Drive, Off Waiyaki Way, Westlands"
TRIDENT INSURANCE COMPANY,"General, Medical",202721710,"Capitol Hill Towers, Cathedral Road Upperhill"
MADISON INSURANCE COMPANY,"General, Medical, Life",202864000,"Madison Insurance House, Upper Hill Rd"
AAR INSURANCE KENYA,Medical,202895000,"Real Towers, Hospital Road, Upper Hill"
TAKAFUL INSURANCE OF AFRICA,Sharia compliant,020 2725134,"CIC Plaza, Mara Road, Upper Hill, Nairobi"
,,,
,,,
,,,
,,,
,,,
INSURANCE BROKER,TELEPHONE NUMBER,LOCATION,
Waumini Insurance Brokers,"020-4442909,4443133,4,5","3rd Flr. Waumini Hse, Westlands",
AA Insurance Brokers,"020-2612300,020-2612311,020-2525349",Airport North Rd,
Alexander Forbes Risk & Insurance Brokers,254 20- 4969000,Landmark Plaza 10th Flr.,
Aon Insurance Brokers,020- 2710 053,"Aon Minet House, Mamlaka Rd.",
Aristocrats Insurance Brokers,020-2317872,"Lavington, along James Gichuru Rd.",
Chancery Wright Insurance Brokers,"020-2077361,020-2641714",4th Flr. ACK Guesthouse,
Chester Insurance Brokers,"254 20 3743450 ,0733523188","Chester House,3rd Flr, Koinange St.",
Eagle Africa Insurance Brokers,0724-982908,"Eagle Africa House, Longonot Rd. Upperhill",
Pacific Insurance Brokers,254-722204478 +254-733609251,"Rose Avenue, Off Dennis Pritt Rd.",
Citadel Insurance Agency,"254-208045072,736192630","Shelter Afrique Hse, Mamlaka Rd. 3rd Flr.",
Family Insurance Brokers,"254-202215462, 0720885519","Hughes Bldg, 3rd Flr, Muindi Mbingu Hse, CBD",
Formax Insurance Brokers - Nairobi Branch,0726-538689,"Capitol Hill Towers, 4th Flr, Cathedral Rd.",
Gracier Insurance Agency,254-203884859,"Karen Rd Off Ngong Rd, Karen",
Great Five Insurance Brokers,"254-202716230,0722783602",Utumishi Co-op next to Aon Minet Hse,
Miran Insurance Brokers,"254-771362997,254-202585310","Capitol Hill Towers, 2nd Flr",
Heritage Insurance Brokers,"254 20 2783000 / 2726439 / 2726440, 0711 039 000/ 0734 101 000","CFC House, Mamlaka Rd.",
BTB Insurance Brokers,"254 20 2623321, 20 2624208,0733 333540",,
Starlit Insurance Brokers,"020-3677777, 0724242424,0734343434","1st Flr. Sclaters Hse, Parklands",
